contig	Accession	mash_distance	mash_pval	mash_matching_hashes	Description	Classification	Genome_Length_(bp)	Jumbophage	molGC_(%)	Molecule	Modification_Date	Number_CDS	Positive_Strand_(%)	Negative_Strand_(%)	Coding_Capacity_(%)	Low_Coding_Capacity_Warning	tRNAs	Host	Lowest_Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore_Group	Genbank_Division	Isolation_Host_(beware_inconsistent_and_nonsense_values)
LN610572.1	LN610572	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_C2-10_Ab02	Pseudomonas phage vB_PaeM_C2-10_Ab02 Pakpunavirus CAb02 Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	93848	False	49.397	DNA	02-JUL-2015	174	69.5402298850575	30.4597701149425	90.2832239365783		14	Pseudomonas	Pakpunavirus	Pakpunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610573.1	NC_026587	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_PAO1_Ab03	Pseudomonas phage vB_PaeM_PAO1_Ab03 Nankokuvirus Ab03 Nankokuvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	86246	False	54.677	DNA	08-JAN-2023	152	86.1842105263158	13.8157894736842	89.8766319597431		3	Pseudomonas	Nankokuvirus	Nankokuvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610574.1	NC_026602	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeP_PAO1_Ab05	Pseudomonas phage vB_PaeP_PAO1_Ab05 Phikmvvirus Ab05 Phikmvvirus Krylovirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43639	False	62.346	DNA	08-JAN-2023	55	96.3636363636364	3.63636363636364	92.5662824537684		0	Pseudomonas	Phikmvvirus	Phikmvvirus	Krylovirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610575.1	LN610575	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_C2-10_Ab08	Pseudomonas phage vB_PaeM_C2-10_Ab08 Pakpunavirus CAb1 Pakpunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	93503	False	49.206	DNA	02-JUL-2015	172	69.1860465116279	30.8139534883721	90.635594579853		14	Pseudomonas	Pakpunavirus	Pakpunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610576.1	LN610576	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_PAO1_Ab17	Pseudomonas phage vB_PaeM_PAO1_Ab17 Nankokuvirus Ab03 Nankokuvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	83598	False	54.591	DNA	25-JUN-2016	145	84.8275862068966	15.1724137931034	89.7916218091342		3	Pseudomonas	Nankokuvirus	Nankokuvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610577.1	NC_026594	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeS_PAO1_Ab18	Pseudomonas phage vB_PaeS_PAO1_Ab18 Pseudomonas virus Ab18 Abidjanvirus Bradleyvirinae Mesyanzhinovviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	56537	False	63.498	DNA	08-JAN-2023	76	100.0	0.0	93.650175990944		0	Pseudomonas	Abidjanvirus	Abidjanvirus	Bradleyvirinae	Mesyanzhinovviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610578.1	NC_026599	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeP_C2-10_Ab22	Pseudomonas phage vB_PaeP_C2-10_Ab22 Bruynoghevirus Ab22 Bruynoghevirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	45808	False	52.353	DNA	08-JAN-2023	68	69.1176470588235	30.8823529411765	91.6804924903947		3	Pseudomonas	Bruynoghevirus	Bruynoghevirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610579.1	LN610579	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_PAO1_Ab27	Pseudomonas phage vB_PaeM_PAO1_Ab27 Pbunavirus LS1 Pbunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	66299	False	55.668	DNA	02-JUL-2015	94	41.4893617021277	58.5106382978723	92.1009366657114		0	Pseudomonas	Pbunavirus	Pbunavirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610580.1	NC_047967	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeP_PAO1_1-15pyo	Pseudomonas phage vB_PaeP_PAO1_1-15pyo Phikmvvirus 15pyo Phikmvvirus Krylovirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42750	False	62.18	DNA	08-JAN-2023	56	98.2142857142857	1.78571428571429	93.7122807017544		0	Pseudomonas	Phikmvvirus	Phikmvvirus	Krylovirinae	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
LN610581.1	LN610581	0.0	0.0	1000/1000	Pseudomonas phage vB_PaeM_PAO1_Ab04	Pseudomonas phage vB_PaeM_PAO1_Ab04 Nankokuvirus Ab03 Nankokuvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	86668	False	54.559	DNA	25-JUN-2016	155	86.4516129032258	13.5483870967742	90.7716804356856		3	Pseudomonas	Nankokuvirus	Nankokuvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	PHG	Pseudomonas aeruginosa
