contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
LN610580.1	42750	NA	43072.66437837398	99.25088363343508	high	1.3214298273438	15	CheckV-044365	98.97	95.31	92.19935961037528	100.0	35	1.0
LN610572.1	93848	NA	93003.14248072074	100.0	high	1.11872710057223	19	CheckV-048956	96.74	97.77	96.86065029505205	100.0	155	1.01
LN610573.1	86246	NA	87456.18291896474	98.61624086648503	high	0.840573760550598	2	CheckV-050982	99.43	99.71	86.53605582129087	99.96912144108029	99	1.01
LN610581.1	86668	NA	87446.52948076965	99.10970797195462	high	0.840573760550598	2	CheckV-050982	100.0	100.0	86.92489809277438	99.97565476395324	98	1.01
LN610574.1	43639	NA	43073.03526731105	100.0	high	0.840573760550598	15	CheckV-045596	100.0	100.0	94.2806513931962	100.0	36	1.01
LN610582.1	84759	NA	87472.59725144917	96.89777446112792	high	0.840573760550598	2	CheckV-050982	98.99	98.65	85.01276910418315	99.79751147441748	96	1.01
LN610575.1	93503	NA	93003.54452890024	100.0	high	0.840573760550598	19	CheckV-050981	100.0	99.52	96.50312798457686	100.0	154	1.01
LN610586.1	93053	NA	93001.96275369782	100.0	high	0.840573760550598	19	CheckV-050981	98.37	98.84	96.09373314803807	100.00000000000001	154	1.01
LN610583.1	85783	NA	87469.21174486984	98.07222254410136	high	1.3214298273438	2	CheckV-050982	97.89	96.84	86.01376750280471	99.95765610970398	97	1.01
LN610587.1	93308	NA	93003.57442280152	100.0	high	0.840573760550598	19	CheckV-050981	97.89	99.03	96.32389405410333	100.00000000000001	153	1.01
LN610576.1	83598	NA	87457.75755543547	95.58671790436777	high	1.3214298273438	2	CheckV-050982	99.27	96.74	83.69631319175954	98.98268250239289	94	1.01
LN610577.1	56537	NA	61052.47367217193	92.60394640777658	high	1.11872710057223	4	CheckV-049978	94.12	98.11	76.86499564769588	99.92032251434999	43	1.0
LN610584.1	58139	NA	60918.98090982027	95.43659321232649	high	0.840573760550598	4	CheckV-049978	100.0	100.0	78.73402878995343	100.0	44	1.0
LN610585.1	57745	NA	61045.8592939442	94.59282032864816	high	1.24961683866353	4	CheckV-049978	96.16	94.89	78.2013029357004	100.0	44	1.0
LN610578.1	45808	NA	45357.16417967565	100.0	high	0.840573760550598	17	CheckV-045606	100.0	100.0	89.8268539428803	99.96360400707351	48	1.01
LN610579.1	66299	NA	66054.61292308407	100.0	high	1.11872710057223	32	CheckV-056557	97.18	99.28	97.48810100245699	100.0	85	1.0
LN610589.1	66181	NA	66051.55496717915	100.0	high	0.840573760550598	32	CheckV-045620	100.0	100.0	97.55121323350775	100.0	82	1.0
LN610588.1	66326	NA	66054.72561558253	100.0	high	1.11872710057223	32	CheckV-056557	97.07	99.19	97.52686184675655	100.0	85	1.0
LN610590.1	37238	NA	38029.19489583251	97.91950658434997	high	0.840573760550598	10	CheckV-045595	100.0	100.0	86.24224879049237	99.99238414909597	48	1.0
PP456877.1	280231	NA	280334.0	99.963258113536	high	0.840573760550598	1	CheckV-042321	98.68	98.26	93.4626635855076	100.0	111	1.0
OM870967.1	88705	NA	93001.58708294929	95.38009272990459	high	1.24961683866353	19	CheckV-050981	96.99	97.5	91.39954720480594	97.62563490897706	144	1.0
OM870968.1	87887	NA	93002.49356070592	94.49961676848282	high	1.24961683866353	19	CheckV-050981	97.14	97.47	90.55656792931644	96.93036897446655	142	1.0
OM870969.1	92710	NA	93003.72142322974	99.6841831501633	high	1.11872710057223	19	CheckV-048273	96.63	98.26	95.70818858546787	100.0	153	1.0
OM870970.1	92515	NA	93002.57768915629	99.4757374459169	high	1.11872710057223	19	CheckV-044926	97.19	97.99	95.48945250324205	99.99997088414185	152	1.0
OQ411628.1	93922	NA	93007.42994142385	100.0	high	1.24961683866353	19	CheckV-053941	95.81	97.49	96.74325035940616	100.0	154	1.0
OQ134474.1	72283	NA	72833.51705376215	99.24414325158048	high	1.19037777961478	10	CheckV-046517	92.03	97.44	93.32983610420443	99.9952121741496	61	1.0
