Description	Count	contig
CDS	199	LN610572.1
connector	0	LN610572.1
DNA, RNA and nucleotide metabolism	17	LN610572.1
head and packaging	11	LN610572.1
integration and excision	0	LN610572.1
lysis	4	LN610572.1
moron, auxiliary metabolic gene and host takeover	1	LN610572.1
other	10	LN610572.1
tail	11	LN610572.1
transcription regulation	0	LN610572.1
unknown function	145	LN610572.1
tRNAs	16	LN610572.1
CRISPRs	0	LN610572.1
tmRNAs	0	LN610572.1
VFDB_Virulence_Factors	0	LN610572.1
CARD_AMR_Genes	0	LN610572.1
CDS	172	LN610573.1
connector	0	LN610573.1
DNA, RNA and nucleotide metabolism	14	LN610573.1
head and packaging	11	LN610573.1
integration and excision	0	LN610573.1
lysis	3	LN610573.1
moron, auxiliary metabolic gene and host takeover	2	LN610573.1
other	3	LN610573.1
tail	10	LN610573.1
transcription regulation	0	LN610573.1
unknown function	129	LN610573.1
tRNAs	3	LN610573.1
CRISPRs	0	LN610573.1
tmRNAs	0	LN610573.1
VFDB_Virulence_Factors	0	LN610573.1
CARD_AMR_Genes	0	LN610573.1
CDS	70	LN610574.1
connector	1	LN610574.1
DNA, RNA and nucleotide metabolism	10	LN610574.1
head and packaging	10	LN610574.1
integration and excision	0	LN610574.1
lysis	4	LN610574.1
moron, auxiliary metabolic gene and host takeover	0	LN610574.1
other	0	LN610574.1
tail	6	LN610574.1
transcription regulation	0	LN610574.1
unknown function	39	LN610574.1
tRNAs	0	LN610574.1
CRISPRs	0	LN610574.1
tmRNAs	0	LN610574.1
VFDB_Virulence_Factors	0	LN610574.1
CARD_AMR_Genes	0	LN610574.1
CDS	199	LN610575.1
connector	0	LN610575.1
DNA, RNA and nucleotide metabolism	16	LN610575.1
head and packaging	11	LN610575.1
integration and excision	0	LN610575.1
lysis	4	LN610575.1
moron, auxiliary metabolic gene and host takeover	1	LN610575.1
other	10	LN610575.1
tail	11	LN610575.1
transcription regulation	0	LN610575.1
unknown function	146	LN610575.1
tRNAs	16	LN610575.1
CRISPRs	0	LN610575.1
tmRNAs	0	LN610575.1
VFDB_Virulence_Factors	0	LN610575.1
CARD_AMR_Genes	0	LN610575.1
CDS	167	LN610576.1
connector	0	LN610576.1
DNA, RNA and nucleotide metabolism	14	LN610576.1
head and packaging	11	LN610576.1
integration and excision	0	LN610576.1
lysis	3	LN610576.1
moron, auxiliary metabolic gene and host takeover	2	LN610576.1
other	2	LN610576.1
tail	10	LN610576.1
transcription regulation	0	LN610576.1
unknown function	125	LN610576.1
tRNAs	3	LN610576.1
CRISPRs	0	LN610576.1
tmRNAs	0	LN610576.1
VFDB_Virulence_Factors	0	LN610576.1
CARD_AMR_Genes	0	LN610576.1
CDS	85	LN610577.1
connector	4	LN610577.1
DNA, RNA and nucleotide metabolism	12	LN610577.1
head and packaging	10	LN610577.1
integration and excision	0	LN610577.1
lysis	2	LN610577.1
moron, auxiliary metabolic gene and host takeover	0	LN610577.1
other	4	LN610577.1
tail	9	LN610577.1
transcription regulation	1	LN610577.1
unknown function	43	LN610577.1
tRNAs	0	LN610577.1
CRISPRs	0	LN610577.1
tmRNAs	0	LN610577.1
VFDB_Virulence_Factors	0	LN610577.1
CARD_AMR_Genes	0	LN610577.1
CDS	82	LN610578.1
connector	0	LN610578.1
DNA, RNA and nucleotide metabolism	7	LN610578.1
head and packaging	10	LN610578.1
integration and excision	0	LN610578.1
lysis	3	LN610578.1
moron, auxiliary metabolic gene and host takeover	2	LN610578.1
other	4	LN610578.1
tail	2	LN610578.1
transcription regulation	0	LN610578.1
unknown function	54	LN610578.1
tRNAs	3	LN610578.1
CRISPRs	0	LN610578.1
tmRNAs	0	LN610578.1
VFDB_Virulence_Factors	0	LN610578.1
CARD_AMR_Genes	0	LN610578.1
CDS	104	LN610579.1
connector	1	LN610579.1
DNA, RNA and nucleotide metabolism	7	LN610579.1
head and packaging	6	LN610579.1
integration and excision	0	LN610579.1
lysis	1	LN610579.1
moron, auxiliary metabolic gene and host takeover	0	LN610579.1
other	1	LN610579.1
tail	14	LN610579.1
transcription regulation	0	LN610579.1
unknown function	74	LN610579.1
tRNAs	0	LN610579.1
CRISPRs	0	LN610579.1
tmRNAs	0	LN610579.1
VFDB_Virulence_Factors	0	LN610579.1
CARD_AMR_Genes	0	LN610579.1
CDS	63	LN610580.1
connector	1	LN610580.1
DNA, RNA and nucleotide metabolism	9	LN610580.1
head and packaging	12	LN610580.1
integration and excision	0	LN610580.1
lysis	3	LN610580.1
moron, auxiliary metabolic gene and host takeover	0	LN610580.1
other	0	LN610580.1
tail	6	LN610580.1
transcription regulation	0	LN610580.1
unknown function	32	LN610580.1
tRNAs	0	LN610580.1
CRISPRs	0	LN610580.1
tmRNAs	0	LN610580.1
VFDB_Virulence_Factors	0	LN610580.1
CARD_AMR_Genes	0	LN610580.1
CDS	173	LN610581.1
connector	0	LN610581.1
DNA, RNA and nucleotide metabolism	14	LN610581.1
head and packaging	11	LN610581.1
integration and excision	0	LN610581.1
lysis	3	LN610581.1
moron, auxiliary metabolic gene and host takeover	2	LN610581.1
other	3	LN610581.1
tail	10	LN610581.1
transcription regulation	0	LN610581.1
unknown function	130	LN610581.1
tRNAs	3	LN610581.1
CRISPRs	0	LN610581.1
tmRNAs	0	LN610581.1
VFDB_Virulence_Factors	0	LN610581.1
CARD_AMR_Genes	0	LN610581.1
CDS	169	LN610582.1
connector	0	LN610582.1
DNA, RNA and nucleotide metabolism	14	LN610582.1
head and packaging	11	LN610582.1
integration and excision	0	LN610582.1
lysis	3	LN610582.1
moron, auxiliary metabolic gene and host takeover	0	LN610582.1
other	3	LN610582.1
tail	10	LN610582.1
transcription regulation	0	LN610582.1
unknown function	128	LN610582.1
tRNAs	3	LN610582.1
