contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
LN610580.1	42750	57	37	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610572.1	93848	171	160	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610573.1	86246	152	106	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610581.1	86668	155	107	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610574.1	43639	54	37	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610582.1	84759	150	105	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610575.1	93503	168	159	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610586.1	93053	167	159	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610583.1	85783	151	106	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610587.1	93308	168	158	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610576.1	83598	145	103	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610577.1	56537	76	45	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610584.1	58139	81	46	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610585.1	57745	79	46	1	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610578.1	45808	68	48	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610579.1	66299	94	88	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610589.1	66181	92	85	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610588.1	66326	94	88	0	No	NA	NA	NA	NA	NA	NA	NA	NA
LN610590.1	37238	56	53	0	No	NA	NA	NA	NA	NA	NA	NA	NA
PP456877.1	280231	366	120	0	No	NA	NA	NA	NA	NA	NA	NA	NA
OM870967.1	88705	157	148	0	No	NA	NA	NA	NA	NA	NA	NA	NA
OM870968.1	87887	155	146	0	No	NA	NA	NA	NA	NA	NA	NA	NA
OM870969.1	92710	167	157	0	No	NA	NA	NA	NA	NA	NA	NA	NA
OM870970.1	92515	166	156	0	No	NA	NA	NA	NA	NA	NA	NA	NA
OQ411628.1	93922	169	158	0	No	NA	NA	NA	NA	NA	NA	NA	NA
OQ134474.1	72283	94	64	0	No	NA	NA	NA	NA	NA	NA	NA	NA
