gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
SKTGIJFO_CDS_0001	1	204	+	LN610572.1	-10.02157	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0002	343	936	+	LN610572.1	-14323.49	953	141.0	0.405	3.0179999999999996e-39	953	229.563583	1.7181586059582143e-67	No_custom_HMM	No_custom_HMM	No_custom_HMM	953	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0003	1024	1167	+	LN610572.1	-6.813792	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0004	1262	1164	-	LN610572.1	-0.1824597	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0005	1410	1532	+	LN610572.1	-0.5276383	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0006	1923	1657	-	LN610572.1	-92.39618	7340	173.0	0.926	2.076e-52	7340	197.662521	4.389926580713902e-59	No_custom_HMM	No_custom_HMM	No_custom_HMM	7340	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0007	2326	1916	-	LN610572.1	-1014.941	7262	271.0	0.954	1.7950000000000002e-85	7262	293.323944	3.8528412178525866e-88	No_custom_HMM	No_custom_HMM	No_custom_HMM	7262	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0008	2732	2316	-	LN610572.1	-519.3145	6773	282.0	0.963	3.467e-89	6773	317.93222	1.0452071563317135e-95	No_custom_HMM	No_custom_HMM	No_custom_HMM	6773	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0009	3133	2729	-	LN610572.1	-96.19922	15763	292.0	1.0	7.052999999999999e-93	15763	318.704987	5.004622546141386e-96	No_custom_HMM	No_custom_HMM	No_custom_HMM	15763	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0010	3838	3176	-	LN610572.1	-115955.6	7453	429.0	0.908	3.039e-138	7453	472.828033	2.9400480910408175e-142	No_custom_HMM	No_custom_HMM	No_custom_HMM	7453	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0011	4119	3841	-	LN610572.1	-28.86303	7742	187.0	0.954	3.939e-57	7742	203.115067	9.916271523336082e-61	No_custom_HMM	No_custom_HMM	No_custom_HMM	7742	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0012	4418	4107	-	LN610572.1	-247.1777	7430	206.0	0.943	1.265e-63	7430	221.59169	3.1612763885164925e-66	No_custom_HMM	No_custom_HMM	No_custom_HMM	7430	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0013	4780	4421	-	LN610572.1	-531.053	2614	130.0	0.573	2.959e-37	2614	126.025566	1.4048893994823593e-36	No_custom_HMM	No_custom_HMM	No_custom_HMM	2614	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0014	5061	4777	-	LN610572.1	-713.194	2614	122.0	0.597	2.274e-34	2614	121.666893	3.189282833187492e-35	No_custom_HMM	No_custom_HMM	No_custom_HMM	2614	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0015	5332	5117	-	LN610572.1	-5.350512	7178	145.0	0.968	5.102e-43	7178	166.68631	3.316354081833042e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	7178	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0016	5670	5329	-	LN610572.1	-123.162	6967	237.0	0.983	9.506e-74	6967	261.608398	1.3298909315330572e-78	No_custom_HMM	No_custom_HMM	No_custom_HMM	6967	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0017	6175	5672	-	LN610572.1	-2093.029	3360	177.0	0.567	1.948e-52	3360	269.642334	1.5334108173690394e-80	No_custom_HMM	No_custom_HMM	No_custom_HMM	3360	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0018	6593	6162	-	LN610572.1	-273.9713	6932	274.0	1.0	6.761e-87	6932	291.101379	1.282010606425025e-87	No_custom_HMM	No_custom_HMM	No_custom_HMM	6932	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0019	7140	6559	-	LN610572.1	-123.0559	768	172.0	0.479	7.749e-50	768	232.962646	4.090024412155632e-69	No_custom_HMM	No_custom_HMM	No_custom_HMM	768	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DprA-like DNA recombination-mediator protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0020	7454	7137	-	LN610572.1	-163.3281	8023	196.0	0.884	7.095999999999999e-60	8023	196.999084	1.1981709020329976e-58	No_custom_HMM	No_custom_HMM	No_custom_HMM	8023	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0021	7605	7456	-	LN610572.1	-35.83894	6391	88.0	0.845	1.1159999999999999e-23	6391	118.506065	1.9445412597884623e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	6391	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
SKTGIJFO_CDS_0022	8096	7617	-	LN610572.1	-1264.464	335	104.0	0.38	2.189e-27	335	206.630692	1.4364421135423617e-60	No_custom_HMM	No_custom_HMM	No_custom_HMM	335	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	phosphatase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
