contig	length	gc_perc	transl_table	cds_coding_density
LN610572.1	93848	0.49	11	92.68
LN610573.1	86246	0.55	11	95.5
LN610574.1	43639	0.62	11	96.98
LN610575.1	93503	0.49	11	93.04
LN610576.1	83598	0.55	11	95.03
LN610577.1	56537	0.63	11	96.54
LN610578.1	45808	0.52	11	95.29
LN610579.1	66299	0.56	11	95.39
LN610580.1	42750	0.62	11	96.44
LN610581.1	86668	0.55	11	95.31
LN610582.1	84759	0.55	11	95.05
LN610583.1	85783	0.55	11	95.02
LN610584.1	58139	0.63	11	95.61
LN610585.1	57745	0.63	11	96.0
LN610586.1	93053	0.49	11	93.02
LN610587.1	93308	0.49	11	93.22
LN610588.1	66326	0.56	11	94.98
LN610589.1	66181	0.55	11	96.23
LN610590.1	37238	0.64	11	97.09
OM870967.1	88705	0.49	11	92.42
OM870968.1	87887	0.49	11	92.7
OM870969.1	92710	0.49	11	92.73
OM870970.1	92515	0.49	11	93.16
OQ134474.1	72283	0.55	11	96.97
OQ411628.1	93922	0.49	11	92.93
PP456877.1	280231	0.37	11	93.47
PP456878.1	278921	0.37	11	93.77
PP456879.1	280173	0.37	11	93.7
PP968062.1	302719	0.46	11	95.62
