contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
LN610580.1	42750	No	NA	57	37	0	High-quality	High-quality	99.25	AAI-based (high-confidence)	0.0	1.0	
LN610572.1	93848	No	NA	171	160	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610573.1	86246	No	NA	152	106	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610581.1	86668	No	NA	155	107	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610574.1	43639	No	NA	54	37	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610582.1	84759	No	NA	150	105	1	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610575.1	93503	No	NA	168	159	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610586.1	93053	No	NA	167	159	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610583.1	85783	No	NA	151	106	1	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610587.1	93308	No	NA	168	158	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610576.1	83598	No	NA	145	103	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610577.1	56537	No	NA	76	45	1	High-quality	High-quality	92.6	AAI-based (high-confidence)	0.0	1.0	
LN610584.1	58139	No	NA	81	46	1	High-quality	High-quality	95.44	AAI-based (high-confidence)	0.0	1.0	
LN610585.1	57745	No	NA	79	46	1	High-quality	High-quality	94.59	AAI-based (high-confidence)	0.0	1.0	
LN610578.1	45808	No	NA	68	48	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.01	
LN610579.1	66299	No	NA	94	88	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
LN610589.1	66181	No	NA	92	85	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
LN610588.1	66326	No	NA	94	88	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
LN610590.1	37238	No	NA	56	53	0	High-quality	High-quality	97.92	AAI-based (high-confidence)	0.0	1.0	
PP456877.1	280231	No	NA	366	120	0	High-quality	High-quality	99.96	AAI-based (high-confidence)	0.0	1.0	
OM870967.1	88705	No	NA	157	148	0	High-quality	High-quality	95.38	AAI-based (high-confidence)	0.0	1.0	
OM870968.1	87887	No	NA	155	146	0	High-quality	High-quality	94.5	AAI-based (high-confidence)	0.0	1.0	
OM870969.1	92710	No	NA	167	157	0	High-quality	High-quality	99.68	AAI-based (high-confidence)	0.0	1.0	
OM870970.1	92515	No	NA	166	156	0	High-quality	High-quality	99.48	AAI-based (high-confidence)	0.0	1.0	
OQ411628.1	93922	No	NA	169	158	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
OQ134474.1	72283	No	NA	94	64	0	High-quality	High-quality	99.24	AAI-based (high-confidence)	0.0	1.0	
