qname	tname	num_alns	pid	qcov	tcov
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_1835	1	100.0	100.0	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_0442	1	100.0	100.0	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_0001	1	100.0	100.0	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_2031	1	99.51	100.0	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_3000	1	99.01	99.02	70.88
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_2803	1	99.01	99.02	78.29
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_2618	1	99.01	99.02	78.29
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_2226	1	100.0	73.53	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_2028	1	100.0	73.53	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_3521	1	100.0	67.65	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_0637	1	100.0	67.65	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_0196	1	100.0	67.65	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_3193	1	98.55	67.65	100.0
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_0636	1	100.0	27.45	37.33
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_0195	1	100.0	27.45	37.33
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_2225	1	100.0	25.98	36.05
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_2027	1	100.0	25.98	36.05
SKTGIJFO_CDS_0001	SKTGIJFO_CDS_3520	1	98.11	25.98	36.05
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_2227	1	100.0	100.0	100.0
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_2032	1	100.0	100.0	100.0
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_2029	1	100.0	100.0	100.0
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_1836	1	100.0	100.0	100.0
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_0198	1	100.0	100.0	100.0
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_0002	1	100.0	100.0	100.0
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_0639	1	98.82	100.0	100.0
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_0443	1	98.82	100.0	100.0
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_3523	1	96.48	100.0	100.0
SKTGIJFO_CDS_0002	SKTGIJFO_CDS_3195	1	87.44	100.0	100.0
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_2033	1	100.0	100.0	100.0
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_1837	1	100.0	100.0	100.0
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_0003	1	100.0	100.0	100.0
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_2228	1	100.0	97.92	100.0
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_2030	1	100.0	97.92	100.0
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_0199	1	100.0	97.92	100.0
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_3196	1	97.92	100.0	100.0
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_0640	1	95.87	83.33	93.02
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_0444	1	95.87	83.33	93.02
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_2805	1	94.22	83.33	57.14
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_2620	1	94.22	83.33	57.14
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_3002	1	93.39	83.33	93.02
SKTGIJFO_CDS_0003	SKTGIJFO_CDS_3524	1	97.89	65.97	57.58
SKTGIJFO_CDS_0004	SKTGIJFO_CDS_0004	1	100.0	100.0	100.0
SKTGIJFO_CDS_0004	SKTGIJFO_CDS_3003	1	97.98	100.0	100.0
SKTGIJFO_CDS_0004	SKTGIJFO_CDS_2806	1	97.98	100.0	100.0
SKTGIJFO_CDS_0004	SKTGIJFO_CDS_2621	1	97.98	100.0	100.0
SKTGIJFO_CDS_0004	SKTGIJFO_CDS_1838	1	97.98	100.0	100.0
SKTGIJFO_CDS_0005	SKTGIJFO_CDS_0005	1	100.0	100.0	100.0
SKTGIJFO_CDS_0005	SKTGIJFO_CDS_3197	1	99.19	100.0	100.0
SKTGIJFO_CDS_0005	SKTGIJFO_CDS_3004	1	99.19	100.0	100.0
SKTGIJFO_CDS_0005	SKTGIJFO_CDS_2807	1	99.19	100.0	100.0
SKTGIJFO_CDS_0005	SKTGIJFO_CDS_2622	1	99.19	100.0	100.0
SKTGIJFO_CDS_0005	SKTGIJFO_CDS_1839	1	99.19	100.0	100.0
SKTGIJFO_CDS_0006	SKTGIJFO_CDS_0006	1	100.0	100.0	100.0
SKTGIJFO_CDS_0006	SKTGIJFO_CDS_2808	1	98.5	100.0	100.0
SKTGIJFO_CDS_0006	SKTGIJFO_CDS_2623	1	98.5	100.0	100.0
SKTGIJFO_CDS_0006	SKTGIJFO_CDS_1840	1	98.5	100.0	100.0
SKTGIJFO_CDS_0006	SKTGIJFO_CDS_3198	1	94.76	100.0	100.0
SKTGIJFO_CDS_0006	SKTGIJFO_CDS_3005	1	94.76	100.0	100.0
SKTGIJFO_CDS_0007	SKTGIJFO_CDS_2037	1	100.0	100.0	100.0
SKTGIJFO_CDS_0007	SKTGIJFO_CDS_1841	1	100.0	100.0	100.0
